latitude,longitude
-7.2941574,112.7380493
-7.2940743,112.738224
-7.2928681,112.7376262
-7.292457,112.7374224
-7.2924002,112.7374154
-7.2921777,112.7375621
-7.2920125,112.7381069
-7.2918879,112.7389001
-7.291881,112.7389439
-7.2914778,112.7389289
-7.2912584,112.7389238
-7.2910433,112.7389177
-7.2897738,112.7389137
-7.2887442,112.7390894
-7.2878157,112.7392611
-7.2873298,112.7393503
-7.2862307,112.7395608
-7.2860668,112.7395885
-7.2855524,112.7396755
-7.2847355,112.7398334
-7.2845514,112.7398713
-7.2842222,112.7399322
-7.2839405,112.739984
-7.282869,112.7401827
-7.2814414,112.7404428
-7.2812657,112.7404783
-7.2810775,112.7405188
-7.2808834,112.7405576
-7.2804392,112.7406395
-7.2802937,112.7406658
-7.2797643,112.7407603
-7.279354,112.7408372
-7.2786131,112.7409798
-7.2773792,112.7412305
-7.2773117,112.7412486
-7.276974,112.7413374
-7.2766944,112.7413968
